[01.wav] 難波津に 咲くやこの花
[03.wav] 人も惜し 人も恨めし あぢきなく
[05.wav] かささぎの 渡せる橋に おく霜の
[07.wav] 嵐吹く 三室の山の もみぢ葉は
[09.wav] 恋すてふ わが名はまだき 立ちにけり
[11.wav] ほととぎす 鳴きつる方を ながむれば
[13.wav] 嘆けとて 月やはものを 思はする
[15.wav] 八重むぐら しげれる宿の さびしきに
[17.wav] あさぢふの をのの篠原 しのぶれど
[19.wav] 花さそふ 嵐の庭の 雪ならで
[21.wav] わたの原 八十島かけて 漕ぎ出でぬと
[23.wav] 滝の音は 絶えて久しく なりぬれど
[25.wav] 夕されば 門田の稲葉 おとづれて
[27.wav] みかきもり 衛士のたく火の 夜は燃え
[29.wav] 春の夜の 夢ばかりなる 手枕に
[31.wav] 難波潟 みじかき芦の ふしの間も
[33.wav] 長からむ 心も知らず 黒髪の
[35.wav] 難波江の 芦のかりねの ひとよゆえ
[37.wav] めぐりあひて 見しやそれとも わかぬ間に
[39.wav] かくとだに えやは伊吹の さしも草
[41.wav] 忘らるる 身をば思はず ちかひてし
[43.wav] 春過ぎて 夏来にけらし 白妙の
[45.wav] あらざらむ この世のほかの おもひでに
[47.wav] 心にも あらでうき世に ながらへば
[49.wav] このたびは 幣もとりあえず 手向け山
[51.wav] 誰をかも 知る人にせむ 高砂の
[53.wav] 君がため 春の野に出でて 若菜つむ
[55.wav] 月みれば ちぢにものこそ 悲しけれ
[57.wav] わびぬれば 今はた同じ 難波なる
[59.wav] 風をいたみ 岩うつ波の おのれのみ
[61.wav] 今来むと いひしばかりに 長月の
[63.wav] ながらへば またこのごろや しのばれむ
[65.wav] 大江山 いく野の道の 遠ければ
[67.wav] つくばねの 峰より落つる みなの川
[69.wav] さびしさに 宿を立ち出でて ながむれば
[71.wav] わが袖は 潮干に見えぬ 沖の石の
[73.wav] あはれとも いふべき人は おもほえで
[75.wav] 秋風に たなびく雲の 絶え間より
[77.wav] 音にきく たかしの浜の あだ波は
[79.wav] 恨みわび ほさぬ袖だに あるものを
[81.wav] しのぶれど 色に出でにけり わが恋は
[83.wav] 吹くからに 秋の草木の しをるれば
[85.wav] 明けぬれば くるるものとは 知りながら
[87.wav] 村雨の 露もまだひぬ まきの葉に
[89.wav] ももしきや 古き軒端の しのぶにも
[91.wav] 玉の緒よ 絶えなば絶えね ながらへば
[93.wav] これやこの 行くも帰るも 別れては
[95.wav] 契りきな かたみに袖を しぼりつつ
[97.wav] ちはやぶる 神代もきかず 竜田川
[99.wav] 田子の浦に うち出でて見れば 白妙の
[101.wav] 天の原 ふりさけ見れば かすがなる
[103.wav] 名にしおはば 逢坂山の さねかづら
[105.wav] 立ち別れ いなばの山の 峰に生ふる
[107.wav] 有明の つれなく見えし 別れより
[109.wav] うかりける 人を初瀬の 山おろしよ
[111.wav] 山里は 冬ぞさびしさ まさりける
[113.wav] 人は いさ心も知らず ふるさとは
[115.wav] 山川に 風のかけたる しがらみは
[117.wav] 奥山に もみぢ踏みわけ 鳴く鹿の
[119.wav] 白露に 風の吹きしく 秋の野は
[121.wav] 夜もすがら 物思ふころは 明けやらで
[123.wav] 花の色は 移りにけりな いたづらに
[125.wav] 嘆きつつ ひとり寝る夜の あくる間は
[127.wav] みよしのの 山の秋風 小夜ふけて
[129.wav] 淡路島 かよふちどりの 鳴く声に
[131.wav] 朝ぼらけ 有明の月と みるまでに
[133.wav] 瀬をはやみ 岩にせかるる 滝川の
[135.wav] 秋の田の かりほの庵の 苫をあらみ
[137.wav] いにしへの 奈良の都の 八重桜
[139.wav] 住の江の 岸による波 よるさへや
[141.wav] 心あてに 折らばや折らむ 初霜の
[143.wav] 君がため 惜しからざりし いのちさへ
[145.wav] おほけなく うき世の民に おほふかな
[147.wav] みかのはら わきて流るる いづみ川
[149.wav] わたの原 漕ぎ出でて見れば ひさかたの
[151.wav] 風そよぐ ならの小川の 夕暮れは
[153.wav] 今はただ 思ひ絶えなむ とばかりを
[155.wav] 夜をこめて 鳥のそらねは はかるとも
[157.wav] あしびきの 山鳥の尾の しだり尾の
[159.wav] 朝ぼらけ 宇治の川霧 たえだえに
[161.wav] 高砂の 尾の上の桜 咲きにけり
[163.wav] おほけなく うき世の民に おほふかな
[165.wav] もろともに あはれと思へ 山桜
[167.wav] 天つ風 雲の通ひ路 吹きとぢよ
[169.wav] 来ぬ人を まつほの浦の 夕なぎに
[171.wav] 世の中は 常にもがもな 渚こぐ
[173.wav] 世の中よ 道こそなけれ おもひ入る
[175.wav] やすらはで 寝なましものを 小夜ふけて
[177.wav] 夏の夜は まだ宵ながら 明けぬるを
[179.wav] 見せばやな 雄島のあまの 袖だにも
[181.wav] 思ひわび さても命は あるものを
[183.wav] みちのくの しのぶもぢずり 誰ゆえに
[185.wav] ゆらのとを わたる舟人 かぢをたえ
[187.wav] わが庵は 都のたつみ しかぞ住む
[189.wav] ひさかたの 光のどけき 春の日に
[191.wav] 逢ひ見ての のちの心に くらぶれば
[193.wav] 小倉山 峰のもみぢ葉 心あらば
[195.wav] 有馬山 ゐなの笹原 風吹けば
[197.wav] 忘れじの 行く末までは かたければ
[199.wav] 契りおきし させもが露を いのちにて
[201.wav] きりぎりす 鳴くや霜夜の さむしろに
