[01.wav] 難波津に 咲くやこの花
[03.wav] 玉の緒よ 絶えなば絶えね ながらへば
[05.wav] 風をいたみ 岩うつ波の おのれのみ
[07.wav] 人は いさ心も知らず ふるさとは
[09.wav] 世の中は 常にもがもな 渚こぐ
[11.wav] 奥山に もみぢ踏みわけ 鳴く鹿の
[13.wav] ほととぎす 鳴きつる方を ながむれば
[15.wav] おほけなく うき世の民に おほふかな
[17.wav] 見せばやな 雄島のあまの 袖だにも
[19.wav] 花の色は 移りにけりな いたづらに
[21.wav] みかきもり 衛士のたく火の 夜は燃え
[23.wav] 忘れじの 行く末までは かたければ
[25.wav] 小倉山 峰のもみぢ葉 心あらば
[27.wav] さびしさに 宿を立ち出でて ながむれば
[29.wav] 今はただ 思ひ絶えなむ とばかりを
[31.wav] 難波江の 芦のかりねの ひとよゆえ
[33.wav] 人も惜し 人も恨めし あぢきなく
[35.wav] 逢ひ見ての のちの心に くらぶれば
[37.wav] ももしきや 古き軒端の しのぶにも
[39.wav] 朝ぼらけ 有明の月と みるまでに
[41.wav] 誰をかも 知る人にせむ 高砂の
[43.wav] 世の中よ 道こそなけれ おもひ入る
[45.wav] みちのくの しのぶもぢずり 誰ゆえに
[47.wav] 滝の音は 絶えて久しく なりぬれど
[49.wav] 長からむ 心も知らず 黒髪の
[51.wav] わが庵は 都のたつみ しかぞ住む
[53.wav] 音にきく たかしの浜の あだ波は
[55.wav] 立ち別れ いなばの山の 峰に生ふる
[57.wav] きりぎりす 鳴くや霜夜の さむしろに
[59.wav] わたの原 八十島かけて 漕ぎ出でぬと
[61.wav] 秋風に たなびく雲の 絶え間より
[63.wav] 淡路島 かよふちどりの 鳴く声に
[65.wav] 心あてに 折らばや折らむ 初霜の
[67.wav] ひさかたの 光のどけき 春の日に
[69.wav] 嘆きつつ ひとり寝る夜の あくる間は
[71.wav] みかのはら わきて流るる いづみ川
[73.wav] あさぢふの をのの篠原 しのぶれど
[75.wav] 村雨の 露もまだひぬ まきの葉に
[77.wav] あしびきの 山鳥の尾の しだり尾の
[79.wav] 春の夜の 夢ばかりなる 手枕に
[81.wav] わが袖は 潮干に見えぬ 沖の石の
[83.wav] 契りおきし させもが露を いのちにて
[85.wav] いにしへの 奈良の都の 八重桜
[87.wav] 夜もすがら 物思ふころは 明けやらで
[89.wav] 大江山 いく野の道の 遠ければ
[91.wav] みよしのの 山の秋風 小夜ふけて
[93.wav] 嵐吹く 三室の山の もみぢ葉は
[95.wav] みそぎぞ 夏のしるしなりける
[97.wav] 名にしおはば 逢坂山の さねかづら
[99.wav] わたの原 漕ぎ出でて見れば ひさかたの
[101.wav] 山川に 風のかけたる しがらみは
[103.wav] 瀬をはやみ 岩にせかるる 滝川の
[105.wav] 来ぬ人を まつほの浦の 夕なぎに
[107.wav] うかりける 人を初瀬の 山おろしよ
[109.wav] ゆらのとを わたる舟人 かぢをたえ
[111.wav] かささぎの 渡せる橋に おく霜の
[113.wav] しのぶれど 色に出でにけり わが恋は
[115.wav] 住の江の 岸による波 よるさへや
[117.wav] 田子の浦に うち出でて見れば 白妙の
[119.wav] これやこの 行くも帰るも 別れては
[121.wav] 天の原 ふりさけ見れば かすがなる
[123.wav] 夜をこめて 鳥のそらねは はかるとも
[125.wav] ちはやぶる 神代もきかず 竜田川
[127.wav] 花さそふ 嵐の庭の 雪ならで
[129.wav] あはれとも いふべき人は おもほえで
[131.wav] 嘆けとて 月やはものを 思はする
[133.wav] 八重むぐら しげれる宿の さびしきに
[135.wav] 契りきな かたみに袖を しぼりつつ
[137.wav] しのぶれど 色に出でにけり わが恋は
[139.wav] 山里は 冬ぞさびしさ まさりける
[141.wav] 今来むと いひしばかりに 長月の
[143.wav] 心にも あらでうき世に ながらへば
[145.wav] このたびは 幣もとりあえず 手向け山
[147.wav] 秋の田の かりほの庵の 苫をあらみ
[149.wav] わびぬれば 今はた同じ 難波なる
[151.wav] やすらはで 寝なましものを 小夜ふけて
[153.wav] 朝ぼらけ 宇治の川霧 たえだえに
[155.wav] 高砂の 尾の上の桜 咲きにけり
[157.wav] 月みれば ちぢにものこそ 悲しけれ
[159.wav] 吹くからに 秋の草木の しをるれば
[161.wav] 天つ風 雲の通ひ路 吹きとぢよ
[163.wav] 有馬山 ゐなの笹原 風吹けば
[165.wav] あらざらむ この世のほかの おもひでに
[167.wav] 白露に 風の吹きしく 秋の野は
[169.wav] かくとだに えやは伊吹の さしも草
[171.wav] 有明の つれなく見えし 別れより
[173.wav] 君がため 春の野に出でて 若菜つむ
[175.wav] 恋すてふ わが名はまだき 立ちにけり
[177.wav] 君がため 惜しからざりし いのちさへ
[179.wav] わたの原 漕ぎ出でて見れば ひさかたの
[181.wav] かくとだに えやは伊吹の さしも草
[183.wav] ながらへば またこのごろや しのばれむ
[185.wav] 難波潟 みじかき芦の ふしの間も
[187.wav] 夕されば 門田の稲葉 おとづれて
[189.wav] 夏の夜は まだ宵ながら 明けぬるを
[191.wav] もろともに あはれと思へ 山桜
[193.wav] 忘らるる 身をば思はず ちかひてし
[195.wav] 明けぬれば くるるものとは 知りながら
[197.wav] 思ひわび さても命は あるものを
[199.wav] めぐりあひて 見しやそれとも わかぬ間に
[201.wav] 恨みわび ほさぬ袖だに あるものを
